index,smiles,zinc_id,predicted_activity,rank
43583,C=CCOC[C@H](NC(=O)C1=NO[C@H](CN)C1)C(=O)OC,1574943502.0,0.90060973,9894
47480,C=CCOC[C@H](NC(=O)C1=NO[C@@H](CN)C1)C(=O)OC,1574943500.0,0.90060973,9895
35983,C=CCOC[C@@H](NC(=O)C1=NO[C@H](CN)C1)C(=O)OC,1574943501.0,0.90060973,9896
24249,C[C@H](Cn1c(N)nc(C#N)c1-c1nn[nH]n1)S(C)(=O)=O,1603591063.0,0.90059197,9897
37391,C[C@@H](Cn1c(N)nc(C#N)c1-c1nn[nH]n1)S(C)(=O)=O,1603591064.0,0.90059197,9898
45154,COCC(=O)N1C[C@H](n2ccnn2)[C@H](NCC#N)C1,1070112510.0,0.90058947,9899
2407,CC(C)N(CCNS(=O)(=O)Cc1cccc(C#N)c1)C1CC1,70037976.0,0.90053505,9900
63930,CCS(=O)(=O)CC(=O)N1CC(NC(=O)[C@@H](C)C#N)C1,1387926938.0,0.9005304,9901
68151,CCS(=O)(=O)CC(=O)N1CC(NC(=O)[C@H](C)C#N)C1,1447464462.0,0.9005304,9902
13682,CCCCCN/C(=N/C1CC1)NCC(=O)NCc1ccco1,72657521.0,0.900518,9903
38964,CC#CCN1CCN(CCNC(=O)[C@H](C)NC(N)=O)CC1,1752364868.0,0.9004995,9904
60286,C#CCN1C[C@@H](NC(=O)c2nnn(C)n2)[C@H](OC)C1,1076766921.0,0.9004775,9905
50007,C#CC(=O)N[C@@H]1[C@H]2COC[C@@H]1CN(C(=O)COC)C2,1800451778.0,0.9004692,9906
7010,C#CCCC1(CCC(=O)N2CCC[C@@H]3C(=O)N(C)C[C@@H]32)N=N1,952880549.0,0.900449,9907
15257,N#Cc1ccc(C(=O)N2CC[C@@H](Oc3nccnc3C#N)C2)cc1,225800623.0,0.9004489,9908
5698,N#Cc1ccc(C(=O)N2CC[C@H](Oc3nccnc3C#N)C2)cc1,225800606.0,0.9004489,9909
39838,CC[C@@H](NS(=O)(=O)N1CCO[C@H](C#N)C1)C(N)=O,1364876226.0,0.9004468,9910
55786,CC[C@@H](NS(=O)(=O)N1CCO[C@@H](C#N)C1)C(N)=O,1364876227.0,0.9004468,9911
54670,C[C@H](C#N)C(=O)N1CC(O)(CNC(=O)[C@@H]2CCNC2=O)C1,1044441651.0,0.9004025,9912
37051,C[C@H](C#N)C(=O)N1CC(O)(CNC(=O)[C@H]2CCNC2=O)C1,1044441642.0,0.9004025,9913
41889,C[C@@H](C#N)C(=O)N1CC(O)(CNC(=O)[C@H]2CCNC2=O)C1,1044441648.0,0.9004025,9914
28681,C[C@@H](C#N)C(=O)N1CC(O)(CNC(=O)[C@@H]2CCNC2=O)C1,1044441647.0,0.9004025,9915
7381,Cn1ccc(CNC(=O)C(F)(F)C(F)(F)C(F)(F)F)n1,2778511.0,0.9003672,9916
54129,Cn1c(=O)[nH]c(N2CCN(C3COC3)CC2)c(C#N)c1=O,1772117073.0,0.9002899,9917
56738,CC(=O)N[C@@H]1CN(CC(=O)NCC#N)C[C@@H]1n1ccnn1,1128607400.0,0.900288,9918
30973,COc1nccc(C(=O)NCCNCC(=O)NCC#N)n1,1131190475.0,0.9002005,9919
6325,O=S(=O)(CC[C@@H]1CCCCO1)NCC#Cc1cccnc1,1615054890.0,0.9001982,9920
19054,O=S(=O)(CC[C@H]1CCCCO1)NCC#Cc1cccnc1,1615054891.0,0.9001982,9921
38435,C#CCN1CC(NC(=O)Cn2nc(C)n(C)c2=O)C1,1031333396.0,0.9001577,9922
6455,CCNC(=O)[C@@]12CCOC[C@H]1CN(c1ccc(C#N)c(C)n1)C2,685940372.0,0.90013146,9923
4377,CCNC(=O)[C@@]12CCOC[C@@H]1CN(c1ccc(C#N)c(C)n1)C2,685940373.0,0.90013146,9924
18100,CCNC(=O)[C@]12CCOC[C@H]1CN(c1ccc(C#N)c(C)n1)C2,685940371.0,0.90013146,9925
17405,CCNC(=O)[C@]12CCOC[C@@H]1CN(c1ccc(C#N)c(C)n1)C2,685940374.0,0.90013146,9926
10728,CCN1C(=O)C(CC(=O)O)=C(C(=O)c2cccnc2)[C@@H]1SC,62716342.0,0.90010214,9927
10253,CCN1C(=O)C(CC(=O)O)=C(C(=O)c2cccnc2)[C@H]1SC,62716341.0,0.90010214,9928
15772,CC[C@@H]1CN(C(=O)CCc2c(C)[nH]c(=O)c(C#N)c2C)CCO1,46355485.0,0.900086,9929
10231,CC[C@H]1CN(C(=O)CCc2c(C)[nH]c(=O)c(C#N)c2C)CCO1,46355487.0,0.900086,9930
4263,Cc1cc(C(=O)Cn2cnc(C#N)n2)c(C)n1-c1nccs1,14143718.0,0.9000856,9931
34813,N#Cc1cccc(OCC(=O)N(CC(N)=O)CC(N)=O)c1,733256445.0,0.900066,9932
33255,C#CC(=O)N1C[C@@H]2COC[C@H](C1)[C@@H]2NC(=O)CC(=O)NC,1793286152.0,0.90006125,9933
42845,C#CCO[C@@H](C)C(=O)N[C@@H](C)CCNC(=O)CC(N)=O,1075991584.0,0.9000495,9934
54580,C#CCO[C@H](C)C(=O)N[C@@H](C)CCNC(=O)CC(N)=O,1075991585.0,0.9000494,9935
1939,Cn1ccnc1C(=O)[C@H](C#N)C(=O)c1ccc2c(c1)CCC(=O)N2,122956326.0,0.9000262,9936
4233,Cn1ccnc1C(=O)[C@@H](C#N)C(=O)c1ccc2c(c1)CCC(=O)N2,122956094.0,0.9000262,9937
51875,CC#CCCNC(=O)C(=O)NC[C@H]1CC[C@H](C(N)=O)O1,1261163525.0,0.9000179,9938
45949,CC#CCCNC(=O)C(=O)NC[C@@H]1CC[C@@H](C(N)=O)O1,1261163526.0,0.9000179,9939
68857,CC#CCCNC(=O)C(=O)NC[C@H]1CC[C@@H](C(N)=O)O1,1234925863.0,0.9000179,9940
44837,CC#CCCNC(=O)C(=O)NC[C@@H]1CC[C@H](C(N)=O)O1,1261163527.0,0.9000179,9941
66916,C=CCOCC(=O)N1CCC[C@](CO)(NCC(N)=O)C1,1753927355.0,0.90000033,9942
64168,C=CCOCC(=O)N1CCC[C@@](CO)(NCC(N)=O)C1,1754774009.0,0.90000033,9943
