rank,Best_Affinity
1,-5.466 
2,-5.163 
3,-4.643 
4,-4.556 
5,-4.682 
6,-4.630 
7,-5.367 
8,-4.909 
9,-4.652 
10,-5.405 
11,-5.067 
12,-4.937 
13,-5.791 
14,-5.117 
15,-5.163 
16,-5.000 
17,-4.976 
18,-4.904 
19,-4.973 
20,-4.785 
21,-4.768 
22,-5.037 
23,-5.513 
24,-5.183 
25,-4.915 
26,-4.487 
27,-5.211 
28,-5.211 
29,-4.344 
30,-5.699 
31,-4.782 
32,-5.060 
33,-5.114 
34,-5.125 
35,-5.038 
36,-5.148 
37,-5.110 
38,-4.490 
39,-4.778 
40,-4.456 
41,-4.314 
42,-5.008 
43,-5.273 
44,-4.859 
45,-5.011 
46,-5.198 
47,-4.841 
48,-4.878 
49,-5.699 
50,-5.877 
