smiles_canonical,activity_label,MolWt,LogP,TPSA,HBD,HBA,RB
CCCCCCCCCC(=O)NC1CCCC1,0,239.40299999999996,4.185900000000003,29.1,1,1,9
O=C1C=C(Br)/C(=C/Br)O1,1,253.87699999999998,2.0583,26.3,0,2,0
O=C/C=C/c1ccccc1,0,132.16199999999995,1.8987,17.07,0,1,2
CCCCCCCCCNC(=O)CC(=O)c1ccccc1,1,289.419,4.126200000000003,46.17,1,2,11
CCCCCCCCCCCCn1nnc(CC(=O)O)n1,1,296.415,3.2211000000000007,80.9,1,5,13
O=C(Cc1ccc(C(F)(F)F)cc1)NC1CCOC1=O,1,287.23699999999997,1.6795999999999998,55.4,1,3,3
CCCCCC(=O)CC(=O)NC1CCOC1=O,1,241.28699999999998,0.9576,72.47,1,4,7
CCC(=O)CC(=O)Nc1ccccc1,1,191.23000000000002,1.9943,46.17,1,2,4
O=C(CCc1ccc(Br)cc1)NC1CCOC1=O,0,312.16299999999995,1.8133999999999995,55.4,1,3,4
O=C(CCCOc1ccc(Cl)cc1)NC1CCOC1=O,0,297.73799999999994,1.9306999999999992,64.63,1,4,6
CCCC(=O)CC(=O)NC1CCOC1=O,0,213.23299999999995,0.17739999999999984,72.47,1,4,5
O=C(Nc1ccccc1NC(=O)c1cccc(Cl)c1)c1cccc(Cl)c1,0,385.2500000000001,5.498000000000003,58.2,2,2,4
O=C(CC(=O)NC1CCOC1=O)Cc1ccccc1,0,261.27699999999993,0.6199999999999994,72.47,1,4,5
CCCCCCC(=O)NC1CCOC1=O,0,213.27699999999996,1.3884999999999998,55.4,1,3,6
O=C(Cc1ccc(Br)cc1)NC1CCOC1=O,0,298.13599999999997,1.4232999999999996,55.4,1,3,3
O=C(CCCc1ccccc1)NC1CCOC1=O,0,247.29399999999995,1.4409999999999994,55.4,1,3,5
CCC(=O)CC(=O)Nc1cccc(OC)c1,0,221.256,2.0029,55.400000000000006,1,3,5
CCCCCCCCCCCC(=O)NC1CCSC1=O,1,299.48,4.055600000000003,46.17,1,3,11
CCCCCCCCCCCC(=O)NC1CCOC1=O,1,283.412,3.3390000000000013,55.4,1,3,11
O=C(Cc1cccc([N+](=O)[O-])c1)NC1CCOC1=O,1,264.23699999999997,0.5689999999999997,98.53999999999999,1,5,4
O=C(CCCCCCCCCNC(=O)CCl)CC(=O)NC1CCOC1=O,1,388.89200000000005,1.8530999999999986,101.57,2,5,14
CCCCCCCCCC(=O)CC(=O)NC1CCCCC1=O,0,309.4500000000001,3.7142000000000026,63.24,1,3,11
COc1cc(C=CC(=O)CC(=O)C=Cc2ccc(O)c(OC)c2)ccc1O,1,368.38500000000005,3.3699000000000026,93.06000000000002,2,6,8
Oc1cc(O)c2c(c1)O[C@H](c1ccc(O)c(O)c1)[C@@H](O)C2,0,290.271,1.5461000000000014,110.38000000000001,5,6,1
O=C(CNc1ccc(C(=O)/C=C/c2ccc(Cl)cc2)cc1)NC1CCOC1=O,0,398.8460000000001,3.0797000000000008,84.5,2,5,7
CO[C@H]1O[C@H](CNS(=O)(=O)c2c(C)cc(C)cc2C)[C@@H](O)[C@H](O)[C@@H]1O,1,375.4430000000001,-0.6558399999999989,125.32000000000002,4,7,5
O=C(CCCC1CCCCC1)NC1CCOC1=O,0,253.34199999999998,2.1687000000000003,55.4,1,3,5
CCCCCCCCCC(=O)NC1CCOC1=O,1,255.35799999999998,2.5588000000000006,55.4,1,3,9
O=[N+]([O-])c1ccccc1S(=O)(=O)Nc1ccc(S(=O)(=O)Nc2nccs2)cc1,0,440.4840000000001,2.6529000000000007,148.37,2,8,7
O=C(CNc1ccc(C(=O)/C=C/c2ccccc2)cc1)NC1CCOC1=O,0,364.40100000000007,2.4263000000000003,84.5,2,5,7
Cc1ccc(SCC(=O)NC2CCOC2=O)cc1,0,265.33399999999995,1.5188199999999998,55.4,1,4,4
O=C(CCCc1c[nH]c2ccccc12)NC1CCOC1=O,0,286.33099999999996,1.9222999999999992,71.19,2,3,5
O=C(CCCCCCCCCN=C=S)CC(=O)NC1CCOC1=O,0,354.47200000000004,2.6009,84.83,1,6,13
Nc1nc(=O)c2[nH]nnc2[nH]1,1,152.117,-1.3766000000000003,113.33999999999999,3,5,0
Nc1ccc(S(=O)(=O)Nc2nccs2)cc1,1,255.324,1.5260999999999998,85.08,2,5,3
CCCCCCCC(=O)NC1CCOC1=O,1,227.30399999999997,1.7786,55.4,1,3,7
O=C(CCCCCCCCCNC(=O)CBr)CC(=O)NC1CCOC1=O,0,433.3430000000001,2.009199999999999,101.57,2,5,14
O=C(CCCCCCCCN=C=S)CC(=O)NC1CCOC1=O,0,340.445,2.210799999999999,84.83,1,6,12
O=C(COc1ccc(OC(F)(F)F)cc1)NC1CCOC1=O,1,319.23499999999996,1.3956999999999993,73.86,1,5,5
