smiles_raw,activity_label
CCCCCCCCCC(=O)NC1CCCC1,0
C1=C(/C(=C/Br)/OC1=O)Br,1
C1=CC=C(C=C1)/C=C/C=O,0
CCCCCCCCCNC(=O)CC(=O)C1=CC=CC=C1,1
CCCCCCCCCCCCN1N=C(N=N1)CC(=O)O,1
C1COC(=O)[C@H]1NC(=O)CC2=CC=C(C=C2)C(F)(F)F,1
CCCCCC(=O)CC(=O)N[C@H]1CCOC1=O,1
CCC(=O)CC(=O)NC1=CC=CC=C1,1
C1COC(=O)[C@H]1NC(=O)CCC2=CC=C(C=C2)Br,0
C1COC(=O)[C@H]1NC(=O)CCCOC2=CC=C(C=C2)Cl,0
CCCC(=O)CC(=O)N[C@H]1CCOC1=O,0
C1=CC=C(C(=C1)NC(=O)C2=CC(=CC=C2)Cl)NC(=O)C3=CC(=CC=C3)Cl,0
C1COC(=O)[C@H]1NC(=O)CC(=O)CC2=CC=CC=C2,0
CCCCCCC(=O)N[C@H]1CCOC1=O,0
C1COC(=O)[C@H]1NC(=O)CC2=CC=C(C=C2)Br,0
C1COC(=O)[C@H]1NC(=O)CCCC2=CC=CC=C2,0
CCC(=O)CC(=O)NC1=CC(=CC=C1)OC,0
CCCCCCCCCCCC(=O)N[C@H]1CCSC1=O,1
CCCCCCCCCCCC(=O)N[C@H]1CCOC1=O,1
C1COC(=O)[C@H]1NC(=O)CC2=CC(=CC=C2)[N+](=O)[O-],1
C1COC(=O)[C@H]1NC(=O)CC(=O)CCCCCCCCCNC(=O)CCl,1
CCCCCCCCCC(=O)CC(=O)NC1CCCCC1=O,0
COC1=C(C=CC(=C1)/C=C/C(=O)CC(=O)/C=C/C2=CC(=C(C=C2)O)OC)O,1
C1[C@@H]([C@H](OC2=CC(=CC(=C21)O)O)C3=CC(=C(C=C3)O)O)O,0
C1COC(=O)[C@H]1NC(=O)CNC2=CC=C(C=C2)C(=O)/C=C/C3=CC=C(C=C3)Cl,0
CC1=CC(=C(C(=C1)C)S(=O)(=O)NC[C@@H]2[C@H]([C@@H]([C@@H]([C@H](O2)OC)O)O)O)C,1
C1CCC(CC1)CCCC(=O)N[C@H]2CCOC2=O,0
CCCCCCCCCC(=O)N[C@H]1CCOC1=O,1
C1=CC=C(C(=C1)[N+](=O)[O-])S(=O)(=O)NC2=CC=C(C=C2)S(=O)(=O)NC3=NC=CS3,0
C1COC(=O)[C@H]1NC(=O)CNC2=CC=C(C=C2)C(=O)/C=C/C3=CC=CC=C3,0
CC1=CC=C(C=C1)SCC(=O)N[C@H]2CCOC2=O,0
C1COC(=O)[C@H]1NC(=O)CCCC2=CNC3=CC=CC=C32,0
