rank,Best_Affinity
1,-4.409 
2,-4.495 
3,-4.556 
4,-4.611 
5,-4.776 
6,-4.420 
7,-4.717 
8,-4.428 
9,-4.510 
10,-5.081 
11,-4.693 
12,-4.807 
13,-4.515 
14,-5.241 
15,-5.934 
16,-5.388 
17,-4.378 
18,-4.689 
19,-5.105 
20,-5.169 
21,-5.071 
22,-5.294 
23,-5.275 
24,-4.997 
25,-4.676 
26,-4.735 
27,-5.621 
28,-5.670 
29,-4.522 
30,-5.070 
31,-5.176 
32,-5.339 
33,-5.100 
34,-4.966 
35,-4.564 
36,-5.046 
37,-5.426 
38,-5.277 
39,-4.822 
40,-4.928 
41,-4.787 
42,-4.770 
43,-5.609 
44,-5.459 
45,-5.271 
46,-5.442 
47,-5.335 
48,-5.012 
49,-5.293 
50,-4.660 

