rank,Best_Affinity
1,-5.327 
2,-4.617 
3,-5.692  
4,-4.566  
5,-5.278 
6,-5.234 
7,-5.386 
8,-5.139 
9,-5.591 
10,-6.019 
11,-5.084 
12,-5.424 
13,-5.151 
14,-5.042 
15,-5.236 
16,-4.983 
17,-4.684 
18,-5.681 
19,-5.032 
20,-4.810 
21,-4.602 
22,-5.038 
23,-5.954 
24,-5.118 
25,-5.581 
26,-5.454 
27,-5.368 
28,-5.034 
29,-5.241 
30,-5.596 
31,-5.075 
32,-4.683 
33,-5.100 
34,-5.127 
35,-5.596 
36,-5.287 
37,-5.496 
38,-5.648 
39,-4.826 
40,-5.026 
41,-5.061 
42,-4.977 
43,-4.978 
44,-4.958 
45,-4.956 
46,-5.835 
47,-5.251 
48,-5.548 
49,-5.059 
50,-4.984 
