Ligand,Best_Affinity 
ligand_100_out,-4.839 
ligand_10_out,-5.592 
ligand_11_out,-5.123 
ligand_12_out,-5.532 
ligand_13_out,-5.195 
ligand_14_out,-5.210 
ligand_15_out,-5.256 
ligand_16_out,-4.989 
ligand_17_out,-4.867 
ligand_18_out,-5.559 
ligand_19_out,-5.220 
ligand_1_out,-5.646 
ligand_20_out,-4.959 
ligand_21_out,-5.153 
ligand_22_out,-4.993 
ligand_23_out,-4.844 
ligand_24_out,-4.835 
ligand_25_out,-5.443 
ligand_26_out,-5.475 
ligand_27_out,-5.363 
ligand_28_out,-5.323 
ligand_29_out,-5.248 
ligand_2_out,-5.169 
ligand_30_out,-5.645 
ligand_31_out,-4.973 
ligand_32_out,-4.734 
ligand_33_out,-4.698 
ligand_34_out,-5.099 
ligand_35_out,-5.043 
ligand_36_out,-5.356 
ligand_37_out,-5.911 
ligand_38_out,-5.532 
ligand_39_out,-4.840 
ligand_3_out,-5.478 
ligand_40_out,-4.790 
ligand_41_out,-5.064 
ligand_42_out,-4.740 
ligand_43_out,-4.738 
ligand_44_out,-5.068 
ligand_45_out,-5.167 
ligand_46_out,-5.933 
ligand_47_out,-5.473 
ligand_48_out,-5.673 
ligand_49_out,-5.136 
ligand_4_out,-4.626 
ligand_50_out,-5.496 
ligand_51_out,-5.530 
ligand_52_out,-5.765 
ligand_53_out,-5.421 
ligand_54_out,-5.375 
ligand_55_out,-5.525 
ligand_56_out,-6.379 
ligand_57_out,-5.005 
ligand_59_out,-5.686 
ligand_5_out,-5.580 
ligand_60_out,-5.730 
ligand_61_out,-5.285 
ligand_62_out,-5.663 
ligand_63_out,-5.515 
ligand_64_out,-5.390 
ligand_65_out,-6.103 
ligand_66_out,-6.094 
ligand_67_out,-5.668 
ligand_68_out,-5.752 
ligand_69_out,-4.781 
ligand_6_out,-5.462 
ligand_70_out,-5.056 
ligand_71_out,-4.405 
ligand_72_out,-4.468 
ligand_73_out,-5.084 
ligand_74_out,-5.170 
ligand_75_out,-5.096 
ligand_76_out,-4.706 
ligand_77_out,-5.037 
ligand_78_out,-4.943 
ligand_79_out,-4.803 
ligand_7_out,-5.725 
ligand_80_out,-5.868 
ligand_81_out,-5.087 
ligand_82_out,-4.836 
ligand_83_out,-5.057 
ligand_84_out,-5.233 
ligand_85_out,-5.683 
ligand_86_out,-4.646 
ligand_87_out,-4.467 
ligand_88_out,-5.143 
ligand_89_out,-4.999 
ligand_8_out,-5.218 
ligand_90_out,-5.715 
ligand_91_out,-5.801 
ligand_92_out,-5.943 
ligand_93_out,-5.596 
ligand_94_out,-5.542 
ligand_95_out,-5.324 
ligand_97_out,-5.628 
ligand_98_out,-5.616 
ligand_99_out,-5.035 
ligand_9_out,-5.879 
