rank,Best_Affinity
1,-5.487 
2,-5.168 
3,-5.321 
4,-4.815 
5,-5.561 
6,-5.556 
7,-5.411 
8,-5.583 
9,-6.028 
10,-5.751 
11,-5.115 
12,-5.575 
13,-5.363 
14,-5.266 
15,-5.404 
16,-5.217 
17,-5.148 
18,-5.627 
19,-5.180 
20,-5.103 
21,-4.922 
22,-4.973 
23,-4.864 
24,-5.236 
25,-5.476 
26,-5.487 
27,-5.466 
28,-5.343 
29,-5.256 
30,-5.521 
31,-4.492 
32,-4.986 
33,-4.706 
34,-5.121 
35,-5.436 
36,-5.639 
37,-5.685 
38,-5.504 
39,-4.827 
40,-5.016 
41,-5.043 
42,-4.760 
43,-4.749 
44,-4.808 
45,-5.118 
46,-5.920 
47,-5.537 
48,-5.684 
49,-5.333 
50,-5.328 
